title,country,genre,director,year
"Америка, Америка",США,драма,Элиа Казан,1963
Амитивилль 3-D,США,ужасы,Ричард Флейшер,1983
Американа (фильм),США,драма,Дэвид Кэррадайн,1983
"Америка (фильм, 2010)",Испания,Криминальная драма,Жуан Нуно Пинту,2010
Америка-3000,США,постапокалиптика,Дэвид Энгельбах,1986
Амитивилль 4: Зло спасается,США,ужасы,,1989
Амитивилль 2: Одержимость,США,ужасы,Дамиано Дамиани,1982
"Аминь (фильм, 2002)",Франция,Драма,Коста-Гаврас,2002
Америкэн бой,Украина,детективный фильм,Борис Квашнёв,1992
Американцы (фильм),США,драма,Джеймс Фоули,1992
Американское сердце,США,драма,Мартин Белл,1992
Амистад (фильм),США,историческая,Стивен Спилберг,1997
Американское безумие,США,драматический фильм,Фрэнк Капра,1932
Американское чтиво,США,драматический фильм,Корд Джефферсон,2023
Американское преступление (фильм),США,драма,,
Американский солдат,ФРГ,драма,Райнер Вернер Фасбиндер,1970
Американский самурай,США,боевик,Сэм Ферстенберг,1992
Американский психопат 2,США,Чёрная комедия,,2002
Американский президент (фильм),США,комедия,Роб Райнер,[2]
Американский пирог представляет: Правила для девочек,США,комедия,,2020
Американский пирог: Свадьба,США,кинокомедия,Джесси Дилан,2003
Американский психопат (фильм),США,криминал,Мэри Хэррон,2000
Американский пирог: Все в сборе,США,комедия,Хейден Шлоссберг,2012
Американский пирог 7: Книга любви,США,комедия,Джон Путч,2009
Американский пирог 4: Музыкальный лагерь,США,комедия,Стив Рэш,2005
Американский пирог 5: Голая миля,США,кинокомедия,Джо Нуссбаум,2006
Американский пирог 6: Переполох в общаге,США,кинокомедия,Эндрю Уоллер,2007
Американский пирог 2,США,Комедия,Джеймс Роджерс,2001
Американский огурчик,США,кинокомедия,Брэндон Трост,2020
Американский пирог,США,комедия,Пол Вайц,1999
Американский оборотень в Париже,США,комедийный фильм ужасов,Энтони Уоллер,1997
Анархисты (фильм),Франция,драма,,2015
Антуан и Антуанетта,Франция,комедия,Жак Беккер,1947
Антропофаг (фильм),Италия,фильм ужасов,Джо Д'Амато,1980
Антропоид (фильм),Чехия,военная драма,Шон Эллис,2016
Антрацит (фильм),СССР,"социальная драма,  производственный фильм",Александр Сурин,1971
Антошу корсет погубил,Российская империя,комедия,Эдвард Пухальский,1916
Антракт (фильм),Франция,фэнтезийный фильм,Рене Клер,1924
Антоша Рыбкин,СССР,военный фильм,Константин Юдин,1942
Антония: Портрет женщины,США,документальный,Джуди Коллинз,1974
Антония (фильм),Нидерланды,драма,Марлен Горрис,1995
"Антоний и Клеопатра (фильм, 1972)",Великобритания,мелодрама,Чарлтон Хестон,1972
Антураж (фильм),США,комедия,Даг Эллин,2015
"Антоний и Клеопатра (фильм, 1908)",США,короткометражный,Чарльз Кент,1908
"Антон Шпелец, снайпер",Чехословакия,комедия,Мартин Фрич,1932
Антон Чехов (фильм),Франция,драма,Рене Фере,2015
Антон тут рядом,Россия,документальное кино,Любовь Аркус,2012
Антон Иванович сердится,СССР,комедия,Александр Ивановский,1941
Антисекс (фильм),Италия,драма,Ренато Кастеллани,1964
"Антихрист (фильм, 1915)",Российская империя,фантастическая драма,Эдвард Пухальский,1915
Антикиллер Д. К.,Россия,Боевик,Эльдар Салаватов,2009
Антимоз Ивериели (фильм),Грузия,Исторический,Гиули Чохонелидзе,2001
"Антитела (фильм, 2005)",Германия,триллер,Кристиан Альварт,2005
Антифауст,Россия,"мистика, драма",,[1]
"Антихрист (фильм, 2009)",Франция,драма,Ларс фон Триер,[3]
Антикиллер 2: Антитеррор,Россия,Боевик,Егор Михалков-Кончаловский,2003
Антикиллер,Россия,боевик,Егор Кончаловский,2002
Антидурь,Россия,комедия,Владимир Щегольков,2007
Антивирус (фильм),Канада,фильм ужасов, Брэндон Кроненберг ,2012
Антебеллум,США,психологический триллер,,2020
Антек-полицмейстер,Польша,комедия,Юлиуш Гардан,1935
"Антенна (фильм, 2007)",Аргентина,фэнтезийный фильм,Эстебан Сапир,[1]
Антарктическая повесть,СССР,драма,Сергей Тарасов,1979
Аполлон 18,США,псевдодокументальный,Пешаварский вальс,2011
"Аталия (фильм, 1910)",Франция,трагедия,Мишель Карре,1910
Атаман Кодр,СССР,драма,Михаил Калик,1958
Аталанта (фильм),Франция,мелодрама,Жан Виго,1934
Атакующая группа «Зет»,Австралия,боевик,Тим Бёрсталл,1982
Атака титанов (фильм),Япония,фантастика,,2015
Атаки 26/11,Индия,триллер,Рам Гопал Варма,2013
Атака на Пёрл-Харбор (фильм),Япония,военный,Идзуру Нарусима,2011
Атака пауков,США,ужасы,Эллори Элкайем,[1]
Атака мертвецов: Осовец,Россия,военный,Василий Чигинский,2018
"Атака лёгкой кавалерии (фильм, 1912)",США,драматический фильм,Джеймс Сирл-Доули,1912
"Атака лёгкой кавалерии (фильм, 1968)",Великобритания,исторический фильм,Тони Ричардсон,1968
Атака куриных зомби,США,комедия,Ллойд Кауфман,2006
"Атака лёгкой кавалерии (фильм, 1936)",США,мелодрама,Майкл Кёртис,1936
Атака крабов-монстров,США,ужасы,Роджер Корман,1956
Атака коммандос,Италия,боевик,Бруно Маттеи,1987
Атака Годзиллы,Япония,приключения,Исиро Хонда,1969
"Атака (фильм, 1986)",СССР,кинодрама,Игорь Николаев,1986
"Ася (фильм, 2020)",Израиль,драма,,2020
Асы в небе,Великобритания,драма,Джек Голд,1976
"Ася (фильм, 1977)",СССР,мелодрама,Иосиф Хейфиц,1977
Асфальтовые джунгли,США,нуарный,Джон Хьюстон,1950
"Асфальт (фильм, 1929)",Германия,драматический фильм,Джоэ Май,1929
Астронавт (фильм),США,фантастика,Юхан Ренк,[1]
Астрал: Новое измерение,Великобритания,ужасы,,2018
"Астролог (фильм, 1976)",США,романтика,,1976
Астрал 3,США,фильм ужасов,Ли Уоннелл,2015
Астрал 5: Красная дверь,США,фильм ужасов,Патрик Уилсон,2023
Астрал: Глава 2,США,фильм ужасов,Джеймс Ван,2013
Астрал 4: Последний ключ,Великобритания,фильм ужасов,Гарри Робител,2018
